'CONTROLE DE FIGURINHAS'        y=79.4  x=137.2
'SCO16'                         y=386.0  x=652.1
'SCO17'                         y=386.0  x=686.6
'SCO18'                         y=386.0  x=721.0
'SCO19'                         y=386.0  x=755.4
'SCO20'                         y=386.0  x=789.9
'Estados Unidos'                y=401.2  x=54.2
'USA1'                          y=402.2  x=138.7
'USA2'                          y=402.2  x=173.1
'USA3'                          y=402.2  x=207.6
'USA4'                          y=402.2  x=242.0
'USA5'                          y=402.2  x=276.5
'USA6'                          y=402.2  x=310.9
'USA7'                          y=402.2  x=345.3
'USA8'                          y=402.2  x=379.8
'USA9'                          y=402.2  x=414.2
'USA10'                         y=402.2  x=446.1
'USA11'                         y=402.2  x=480.6
'USA12'                         y=402.2  x=515.0
'USA13'                         y=402.2  x=549.5
'USA14'                         y=402.2  x=583.9
'USA15'                         y=402.2  x=618.4
'USA16'                         y=402.2  x=652.8
'USA17'                         y=402.2  x=687.3
'USA18'                         y=402.2  x=721.7
'USA19'                         y=402.2  x=756.2
'USA20'                         y=402.2  x=790.6
'D'                             y=414.4  x=27.0
'Paraguai'                      y=416.5  x=54.2
'PAR1'                          y=417.5  x=139.0
'PAR2'                          y=417.5  x=173.3
'PAR3'                          y=417.5  x=207.8
'PAR4'                          y=417.5  x=242.3
'PAR5'                          y=417.5  x=276.7
'PAR6'                          y=417.5  x=311.1
'PAR7'                          y=417.5  x=345.5
'PAR8'                          y=417.5  x=380.0
'PAR9'                          y=417.5  x=414.4
'PAR10'                         y=417.5  x=446.3
'PAR11'                         y=417.5  x=480.8
'PAR12'                         y=417.5  x=515.2
'PAR13'                         y=417.5  x=549.7
'PAR14'                         y=417.5  x=584.0
'PAR15'                         y=417.5  x=618.5
'PAR16'                         y=417.5  x=653.0
'PAR17'                         y=417.5  x=687.3
'PAR18'                         y=417.5  x=721.8
'PAR19'                         y=417.5  x=756.2
'PAR20'                         y=417.5  x=790.7
'Austrália'                     y=431.7  x=54.2
'AUS1'                          y=432.7  x=138.7
'AUS2'                          y=432.7  x=173.1
'AUS3'                          y=432.7  x=207.6
'AUS4'                          y=432.7  x=242.0
'AUS5'                          y=432.7  x=276.5
'AUS6'                          y=432.7  x=310.9
'AUS7'                          y=432.7  x=345.3
'AUS8'                          y=432.7  x=379.8
'AUS9'                          y=432.7  x=414.2
'AUS10'                         y=432.7  x=446.2
'AUS11'                         y=432.7  x=480.6
'AUS12'                         y=432.7  x=515.1
'AUS13'                         y=432.7  x=549.5
'AUS14'                         y=432.7  x=584.0
'AUS15'                         y=432.7  x=618.4
'AUS16'                         y=432.7  x=652.8
'AUS17'                         y=432.7  x=687.2
'AUS18'                         y=432.7  x=721.7
'AUS19'                         y=432.7  x=756.2
'AUS20'                         y=432.7  x=790.6
'Turquia'                       y=446.6  x=54.2
'TUR1'                          y=447.6  x=139.0
'TUR2'                          y=447.6  x=173.4
'TUR3'                          y=447.6  x=207.9
'TUR4'                          y=447.6  x=242.3
'TUR5'                          y=447.6  x=276.7
'TUR6'                          y=447.6  x=311.2
'TUR7'                          y=447.6  x=345.6
'TUR8'                          y=447.6  x=380.1
'TUR9'                          y=447.6  x=414.5
'TUR10'                         y=447.6  x=446.4
'TUR11'                         y=447.6  x=480.9
'TUR12'                         y=447.6  x=515.3
'TUR13'                         y=447.6  x=549.7
'TUR14'                         y=447.6  x=584.2
'TUR15'                         y=447.6  x=618.6
'TUR16'                         y=447.6  x=653.0
'TUR17'                         y=447.6  x=687.5
'TUR18'                         y=447.6  x=721.9
'TUR19'                         y=447.6  x=756.4
'TUR20'                         y=447.6  x=790.8
'Alemanha'                      y=462.8  x=54.2
'GER1'                          y=463.8  x=138.5
'GER2'                          y=463.8  x=172.9
'GER3'                          y=463.8  x=207.4
'GER4'                          y=463.8  x=241.8
'GER5'                          y=463.8  x=276.3
'GER6'                          y=463.8  x=310.7
'GER7'                          y=463.8  x=345.1
'GER8'                          y=463.8  x=379.6
'GER9'                          y=463.8  x=414.0
'GER10'                         y=463.8  x=445.9
'GER11'                         y=463.8  x=480.3
'GER12'                         y=463.8  x=514.8
'GER13'                         y=463.8  x=549.2
'GER14'                         y=463.8  x=583.7
'GER15'                         y=463.8  x=618.1
'GER16'                         y=463.8  x=652.6
'GER17'                         y=463.8  x=687.0
'GER18'                         y=463.8  x=721.4
'GER19'                         y=463.8  x=755.9
'GER20'                         y=463.8  x=790.3
'E'                             y=475.9  x=28.7
'Curaçao'                       y=478.0  x=54.2
'CUW1'                          y=479.0  x=136.7
'CUW2'                          y=479.0  x=171.1
'CUW3'                          y=479.0  x=205.6
'CUW4'                          y=479.0  x=240.0
'CUW5'                          y=479.0  x=274.5
'CUW6'                          y=479.0  x=308.9
'CUW7'                          y=479.0  x=343.3
'CUW8'                          y=479.0  x=377.7
'CUW9'                          y=479.0  x=412.2
'CUW10'                         y=479.0  x=444.1
'CUW11'                         y=479.0  x=478.5
'CUW12'                         y=479.0  x=513.0
'CUW13'                         y=479.0  x=547.4
'CUW14'                         y=479.0  x=581.9
'CUW15'                         y=479.0  x=616.4
'CUW16'                         y=479.0  x=650.8
'CUW17'                         y=479.0  x=685.2
'CUW18'                         y=479.0  x=719.6
'CUW19'                         y=479.0  x=754.1
'CUW20'                         y=479.0  x=788.5
'Costa do Marfim'               y=493.3  x=54.2
'CIV1'                          y=494.3  x=140.0
'CIV2'                          y=494.3  x=174.4
'CIV3'                          y=494.3  x=208.9
'CIV4'                          y=494.3  x=243.3
'CIV5'                          y=494.3  x=277.8
'CIV6'                          y=494.3  x=312.3
'CIV7'                          y=494.3  x=346.7
'CIV8'                          y=494.3  x=381.1
'CIV9'                          y=494.3  x=415.6
'CIV10'                         y=494.3  x=447.5
'CIV11'                         y=494.3  x=481.9
'CIV12'                         y=494.3  x=516.4
'CIV13'                         y=494.3  x=550.8
'CIV14'                         y=494.3  x=585.2
'CIV15'                         y=494.3  x=619.7
'CIV16'                         y=494.3  x=654.2
'CIV17'                         y=494.3  x=688.6
'CIV18'                         y=494.3  x=723.0
'CIV19'                         y=494.3  x=757.5
'CIV20'                         y=494.3  x=791.9
'Equador'                       y=508.2  x=54.2
'ECU1'                          y=509.2  x=138.2
'ECU2'                          y=509.2  x=172.7
'ECU3'                          y=509.2  x=207.2
'ECU4'                          y=509.2  x=241.6
'ECU5'                          y=509.2  x=276.0
'ECU6'                          y=509.2  x=310.5
'ECU7'                          y=509.2  x=345.0
'ECU8'                          y=509.2  x=379.3
'ECU9'                          y=509.2  x=413.8
'ECU10'                         y=509.2  x=445.8
'ECU11'                         y=509.2  x=480.2
'ECU12'                         y=509.2  x=514.6
'ECU13'                         y=509.2  x=549.1
'ECU14'                         y=509.2  x=583.5
'ECU15'                         y=509.2  x=618.0
'ECU16'                         y=509.2  x=652.4
'ECU17'                         y=509.2  x=686.9
'ECU18'                         y=509.2  x=721.3
'ECU19'                         y=509.2  x=755.8
'ECU20'                         y=509.2  x=790.2
'Holanda'                       y=524.4  x=54.2
'NED1'                          y=525.4  x=138.1
'NED2'                          y=525.4  x=172.6
'NED3'                          y=525.4  x=207.0
'NED4'                          y=525.4  x=241.5
'NED5'                          y=525.4  x=275.9
'NED6'                          y=525.4  x=310.3
'NED7'                          y=525.4  x=344.8
'NED8'                          y=525.4  x=379.2
'NED9'                          y=525.4  x=413.7
'NED10'                         y=525.4  x=445.5
'NED11'                         y=525.4  x=480.0
'NED12'                         y=525.4  x=514.4
'NED13'                         y=525.4  x=548.9
'NED14'                         y=525.4  x=583.3
'NED15'                         y=525.4  x=617.8
'NED16'                         y=525.4  x=652.2
'NED17'                         y=525.4  x=686.6
'NED18'                         y=525.4  x=721.1
'NED19'                         y=525.4  x=755.5
'NED20'                         y=525.4  x=789.9
'F'                             y=537.5  x=29.2
'Japão'                         y=539.6  x=54.2
'JPN1'                          y=540.6  x=139.7
'JPN2'                          y=540.6  x=174.1
'JPN3'                          y=540.6  x=208.6
'JPN4'                          y=540.6  x=243.0
'JPN5'                          y=540.6  x=277.5
'JPN6'                          y=540.6  x=311.8
'JPN7'                          y=540.6  x=346.4
'JPN8'                          y=540.6  x=380.8
'JPN9'                          y=540.6  x=415.3
'JPN10'                         y=540.6  x=447.1
'JPN11'                         y=540.6  x=481.5
'JPN12'                         y=540.6  x=516.0
'JPN13'                         y=540.6  x=550.5
'JPN14'                         y=540.6  x=584.9
'JPN15'                         y=540.6  x=619.3
'JPN16'                         y=540.6  x=653.8
'JPN17'                         y=540.6  x=688.2
'JPN18'                         y=540.6  x=722.7
'JPN19'                         y=540.6  x=757.1
'JPN20'                         y=540.6  x=791.6
'Suécia'                        y=554.8  x=54.2
'SWE1'                          y=555.8  x=137.9
'SWE2'                          y=555.8  x=172.4
'SWE3'                          y=555.8  x=206.8
'SWE4'                          y=555.8  x=241.2
'SWE5'                          y=555.8  x=275.6
'SWE6'                          y=555.8  x=310.1
'SWE7'                          y=555.8  x=344.5
'SWE8'                          y=555.8  x=379.0
'SWE9'                          y=555.8  x=413.4
'SWE10'                         y=555.8  x=445.3
'SWE11'                         y=555.8  x=479.7
'SWE12'                         y=555.8  x=514.2
'SWE13'                         y=555.8  x=548.6
'SWE14'                         y=555.8  x=583.1
'SWE15'                         y=555.8  x=617.6
'SWE16'                         y=555.8  x=651.9
'SWE17'                         y=555.8  x=686.4
'SWE18'                         y=555.8  x=720.8
'SWE19'                         y=555.8  x=755.3
'SWE20'                         y=555.8  x=789.8
'Tunísia'                       y=569.7  x=54.2
'TUN1'                          y=570.7  x=138.5
'TUN2'                          y=570.7  x=172.9
'TUN3'                          y=570.7  x=207.4
'TUN4'                          y=570.7  x=241.8
'TUN5'                          y=570.7  x=276.2
'TUN6'                          y=570.7  x=310.7
'TUN7'                          y=570.7  x=345.1
'TUN8'                          y=570.7  x=379.6
'TUN9'                          y=570.7  x=414.0
'TUN10'                         y=570.7  x=445.9
'TUN11'                         y=570.7  x=480.3
'TUN12'                         y=570.7  x=514.8
'TUN13'                         y=570.7  x=549.2
'TUN14'                         y=570.7  x=583.7
'TUN15'                         y=570.7  x=618.1
'TUN16'                         y=570.7  x=652.5
'TUN17'                         y=570.7  x=687.0
'TUN18'                         y=570.7  x=721.5
'TUN19'                         y=570.7  x=755.8
'TUN20'                         y=570.7  x=790.3
'Bélgica'                       y=585.9  x=54.2
'BEL1'                          y=586.9  x=139.4
'BEL2'                          y=586.9  x=173.9
'BEL3'                          y=586.9  x=208.3
'BEL4'                          y=586.9  x=242.7
'BEL5'                          y=586.9  x=277.2
'BEL6'                          y=586.9  x=311.6
'BEL7'                          y=586.9  x=346.0
'BEL8'                          y=586.9  x=380.5
'BEL9'                          y=586.9  x=414.9
'BEL10'                         y=586.9  x=446.8
'BEL11'                         y=586.9  x=481.3
'BEL12'                         y=586.9  x=515.7
'BEL13'                         y=586.9  x=550.2
'BEL14'                         y=586.9  x=584.6
'BEL15'                         y=586.9  x=619.0
'BEL16'                         y=586.9  x=653.5
'BEL17'                         y=586.9  x=687.9
'BEL18'                         y=586.9  x=722.4
'BEL19'                         y=586.9  x=756.8
'BEL20'                         y=586.9  x=791.2
'G'                             y=599.1  x=26.9
'Egito'                         y=601.2  x=54.2
'EGY1'                          y=602.2  x=138.8
'EGY2'                          y=602.2  x=173.3
'EGY3'                          y=602.2  x=207.7
'EGY4'                          y=602.2  x=242.2
'EGY5'                          y=602.2  x=276.6
'EGY6'                          y=602.2  x=311.0
'EGY7'                          y=602.2  x=345.5
'EGY8'                          y=602.2  x=379.9
'EGY9'                          y=602.2  x=414.4
'EGY10'                         y=602.2  x=446.3
'EGY11'                         y=602.2  x=480.7
'EGY12'                         y=602.2  x=515.1
'EGY13'                         y=602.2  x=549.6
'EGY14'                         y=602.2  x=584.0
'EGY15'                         y=602.2  x=618.5
'EGY16'                         y=602.2  x=653.0
'EGY17'                         y=602.2  x=687.4
'EGY18'                         y=602.2  x=721.8
'EGY19'                         y=602.2  x=756.3
'EGY20'                         y=602.2  x=790.7
'Irã'                           y=616.4  x=54.2
'IRN1'                          y=617.4  x=139.8
'IRN2'                          y=617.4  x=174.2
